Bevölkerung,Bildung und Wissenschaft,"Geographie, Geologie und Geobasisdaten",Gesetze und Justiz,Gesundheit,"Infrastruktur, Bauen und Wohnen","Kultur, Freizeit, Sport, Tourismus",Politik und Wahlen,Soziales,Transport und Verkehr,Umwelt und Klima,Verbraucherschutz,"Öffentliche Verwaltung, Haushalt und Steuern",Wirtschaft und Arbeit,Sonstiges,Noch nicht kategorisiert,Dateibezeichnung,URL,Lizenz,Format,Quelle
,,,,,x,,,,,,,,,,,Fachkarte Vorrangstandorte für Windenergiegewinnung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e3a16369-9d31-4212-ad43-aeea5eff42aa,nicht bekannt,,d
,,,,,,,,,,,,,,x,,Fachkarte Ver- und Entsorgung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ac7e49c9-831f-464a-88c3-d61bb3e2b586,nicht bekannt,,d
,,,,,,,,,,x,,,,,,§28a Biotopflächen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6278,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Unterhaltungsverbände Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62183,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Radfernwege Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=65c45501-a49b-4205-bf58-0438d19a41b2,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwertzonen Landwirtschaft Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=79527d4f-0e59-4a45-9acb-4feb1c14fbb9,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Fachkarte Topographische Karten und Luftbilder Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2b53aa5c-1770-48af-a0e1-d6fd68d3663a,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwertzonen Bauland Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=f6b5c48d-e787-4e14-b293-31967e1098d8,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Kreisgrenze Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62110,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Bundesstrassen  Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=c60e992e-e125-400e-8948-3d84b1b57e5a,nicht bekannt,,d
,,,,,,,,,x,,,,,,,DWL Strassen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6254,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Netzknoten Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=cac8023b-e301-4ca1-a892-ae513fc18def,nicht bekannt,,d
,,,,,,,,,x,,,,,,,DWL Autobahn Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6246,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Fachkarte Breitbandversorgung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=9ef2d398-7e72-4b64-9f22-1d1644c24fbc,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Landeseigene Flächen Landkreis Oldenburg,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6258,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Fernwasserleitungen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62104,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Störfallbetriebe Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=101daced-ae13-49cd-a939-98ebf385892d,nicht bekannt,,d
,,,,,,,,,,,,x,,,,DWL Gemeindegrenzen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6249,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Digitale Topographische Karte 1:50000 Farbe Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=c63188a9-05ff-4d44-85b2-e214881d61f8,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Straßennetz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=19e76a2c-324c-455f-972a-a562f922e306,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Hauskoordinaten Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=cc7147db-2d52-438a-9fba-b1e9e867d194,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Brandschutzabschnitte Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=3b1b0d36-b872-4cca-b6de-99b468ad8672,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Gebäude Landkreis Diepholz Katasteramtsbezirk Syke,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=324b36fe-2e80-442e-9125-95c645620b40,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Radrouten Grüner Ring Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=c1f68b12-0802-48d1-aa09-9a9989e702e4,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Versorgungsgebiet Stadtwerke EVB Huntetal Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62195,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Radrouten Grüner Ring Einzelabschnitte Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=48f4ac38-6491-413c-b82a-fb39b293f58f,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Kompensationsflächenverzeichnis Samtgemeinde Altes Amt Lemförde,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=a9d9a014-3835-4085-bdd6-ba7b95161f73,nicht bekannt,,d
,,x,,,,,,,,,,,,,,DTK50 Blattschnitt Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=4ad8ed48-09fd-40a1-ba20-2b065cc6a1e2,nicht bekannt,,d
,,x,,,,,,,,,,,,,,ATKIS Basis-DLM25 Landkreis Nienburg,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=3a324af5-09e2-4d5a-8520-4f8d4da0dac5,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Postfilialen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62116,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Radtouren Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=4ad51c19-a7fe-4309-90cf-ee754d4e8163,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Bojen Dümmer Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62167,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Versorgungsgebiet OOWV Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62194,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Geburtseinrichtungen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=41e6e64a-ca3d-4452-b4a7-d85ca1da869d,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Kanalkataster Samtgemeinde Bruchhausen-Vilsen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=8c19c1c2-12fc-4eee-b2f9-799c0876886c,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Gemeindegrenzen Nordrhein-Westfalen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6267,nicht bekannt,,d
,,,,,x,,,,,,,,,,,gewerbliche Blockheizkraftwerke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=d3cbebfb-bec3-4c61-8392-a7cdf8e18a84,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Pufferzone 100m Landkreis Diepholz (alt),http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=4d9b9a0b-1c67-483a-aa38-7d07c9055b3c,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Natura2000 Beschilderung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=04a67282-eda2-4d37-a862-9d188f4cb1ee,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Preußische Landesaufnahme TK25 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=a3cc71cb-bd9f-4fc7-a005-fadf9f178628,nicht bekannt,,d
,,,,,,,,,,x,,,,,,EU-relevantes Gewässernetz (WRRL) Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62158,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Deutsche Grundkarte 1:5000 DGK5 Schwarz-Weiß-Darstellung Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-44f7-326b01ab6211,nicht bekannt,,d
,,x,,,,,,,,,,,,,,ATKIS Basis-DLM25 Landkreis Oldenburg,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=08c3e122-d510-44e5-9c0a-d9abf5927e22,nicht bekannt,,d
,,x,,,,,,,,,,,,,,ATKIS Basis-DLM25 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=c7b99af3-162a-4fde-9bd8-9efc1b1ea91a,nicht bekannt,,d
,,x,,,,,,,,,,,,,,ATKIS DLM250 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ecfed368-0e38-43e2-b86d-bd90a801577c,nicht bekannt,,d
,,,,,x,,,,,,,,,,,TK25 Blattschnitt Nr. Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6228,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Preußische Landesaufnahme TK25 Landkreis Vechta,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=fbe19bf3-e4f6-4009-b16d-33e9d9edd0d1,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Biotope und Ausgleichsflächen Gemeinde Stuhr,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=be8cb9d7-3001-46ba-b9cc-ba3c54c72a34,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Straßennetz Samtgemeinde Bruchhausen-Vilsen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=403f8666-49d0-4088-b62e-2c59cc0e61da,nicht bekannt,,d
,,x,,,,,,,,,,,,,,UTM-Nummerierungsbezirke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=a8fd2c24-db59-4cee-93ed-5f4aaae66367,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Versorgungsgebiet Ochtmannien Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62193,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Tonabbau Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62207,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Regionales Raumordnungsprogramm Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=5342fcfc-0a40-4da8-ad1f-f138ee4f85ec,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Bahnstrecke OS HB Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab626,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Sanierungsgebiete Landkreis Diepholz 2013,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=26cce078-e9d4-4cf0-9f13-0f24cb178f40,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Gemarkungsgrenzen Syke  Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62109,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Naturschutzgebiete DGK5 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6296,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Lärmkartierung Stadt Bassum,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=d7806b6e-6169-4c3c-9b8c-ff5c274842bd,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Ausgleichsflächen Samtgemeinde Altes Amt Lemförde,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=62a96bb3-1e3a-4b74-91ef-44eb2dd644d3,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Gebäude Landkreis Diepholz Katasteramtsbezirk Sulingen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-44f7-326b01ab624,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Bodenübersichtskarte Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2e1537d1-0920-4ba0-9cdc-0637916731a3,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Polizeistationen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=977d733c-35aa-4714-9a7b-b82faa46946f,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Grünflächen Gemeinde Stuhr,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=24a0a100-7a5e-4d9c-bfe3-fbeff1adc876,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Kommunales Amtliches Liegenschaftsbuch Gemeinde Stuhr,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=8410026a-c88c-4748-b653-92c566f85f70,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Altlastenkataster Gemeinde Stuhr,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=09d3d4c9-c823-4096-a464-fbb2d30854d1,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Deutsche Grundkarte DGK5 Blattschnitt Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6223,nicht bekannt,,d
,,x,,,,,,,,,,,,,,TK25 Blattschnitt Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6227,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Luftbilder 2011 Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=397a8c7e-c134-4c48-9fec-46de4fa73dd8,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Autobahn Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=f7b613dc-e430-45ab-b76a-abb547077846,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Mitgliedsgemeinden  Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62113,nicht bekannt,,d
,,x,,,,,,,,,,,,,,Digitale Topographische Karte 1:500.000 Farbe Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=a41b296d-fe6d-48a1-9669-0857fbd74f83,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Strassenmeistereibezirke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab628,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Kanalkataster Samtgemeinde Rehden,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=221b2e24-3439-47f5-ae10-c1636e286994,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Kanalkataster Samtgemeinde Kirchdorf,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=5bc6c4da-108a-4920-82b6-72007187be74,nicht bekannt,,d
,,,,,,,,,,,,,,x,,Geokatalog Stadt Braunschweig,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=356aed8d-26e6-46be-82f7-a39295a3f24c,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Waldbrandeinsatzkarte Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62150,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Kommunale Friedhöfe Gemeinde Stuhr,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=2fe96fdb-dcbd-4f3d-a6ab-d06c9ed74826,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwertzonen Landwirtschaft Landkreis Diepholz 2011,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=33829f64-6b20-4289-8ac8-fcb15fdb4583,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Gewässeraufsicht-Süd Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62209,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwertzonen Bauland Landkreis Diepholz 2011,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=95f2484a-df3e-445f-b944-187bfcb3ff26,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Fliessgewässer Niedersachsen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=7166424b-74a7-4fb2-ab99-7c94f9ea8a4a,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Biotope Nordrhein-Westfalen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6270,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Reitzubehör Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6221,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Zimmereien Verdachtsflächen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=52c932c3-aa28-4911-9300-0dcf89905acf,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Kommunale Infrastrukturflächen (inkl. Straßennetz) Gemeinde Stuhr,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=e1a2291b-15b0-42ec-9699-c047fc24af29,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Reitwegenetz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6220,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Bodenrichtwerte Bauland Landkreis Diepholz 2000,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=dc1a509b-3190-4d87-9a33-6b0a977d7c6f,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Deutsche Grundkarte DGK5-Blattschnitt-Nr. Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6224,nicht bekannt,,d
,,,,,x,,,,,,,,,,,TK50 Blattschnitt Nr. Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6230,nicht bekannt,,d
,,,,,,x,,,,,,,,,,Tierarztpraxen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6222,nicht bekannt,,d
,,x,,,,,,,,,,,,,,DSK10 Blattschnitt,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=bfae3653-0654-4ac1-9e5c-9bd1c01f47c4,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Syke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=82f21f76-0628-40af-a4df-52e49c1b8787,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Ausgleichsflächen Stadt Sulingen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=cedb1aa9-8698-4f95-a9e5-fb5143049dae,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Stuhr Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=5caaeb6b-a2de-46ee-a2d1-8167daf5dd28,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Kompenationsflächen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=d8114d0f-f756-4177-9da7-99bd2e58f4d8,nicht bekannt,,d
,,x,,,,,,,,,,,,,,TK50 Blattschnitt Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6229,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Löschwasserentnahmestellenkataster Samtgemeinde Altes Amt Lemförde,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=feffac9b-78fe-4c0b-b268-73b6bec36083,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Niederschlagswasserbeseitigung Einzugsflächen Landkreis Diepholz (Nordkreis),http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=655a734c-b843-47bf-9002-02391c34cf0f,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Bojenlinie Dümmer Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62168,nicht bekannt,,d
,,,,,,,,,x,,,,,,,Eisenbahnstrecken Deutschland,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6242,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Gesetzlich geschützte Biotope nach § 30 Bundesnaturschutzgesetz Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=74b3c0e6-1827-467a-b113-95066e235a2b,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Verdachtsflächen Sulingen Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=b4224ec9-8f92-406e-ba0b-50a7fba7cb4f,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Wohlfahrtsverbände Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6240,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Landschaftsrahmenplan Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=967828df-d2bf-44ff-9475-a3dc51efa81d,nicht bekannt,,d
,,,,,,,,,,,,,,x,,Geodatenkatalog Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=fe26be08-0e49-4537-8a83-3902c9b8cc54,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Durchlassbauwerke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab62170,nicht bekannt,,d
,,,,,,,,,,x,,,,,,Brachflächen Syke Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=fe098ab3-5760-4724-ac48-f2f4ebf5a0ab,nicht bekannt,,d
,,,,,,,,,,,,x,,,,Ortslage Niedersachsen,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6265,nicht bekannt,,d
,,,,,,,,x,,,,,,,,Mehrgenerationenhäuser Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=ba3ace60-4d2e-4694-47f7-326b01ab6232,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Breitband DSL größer 6 MBITs Landkreis Diepholz,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=314170b8-9c11-48ea-b150-96a0c4be4414,nicht bekannt,,d
,,,,,x,,,,,,,,,,,Flächennutzungsplan Samtgemeinde Kirchdorf,http://gdi.diepholz.de/geodatensuche/Query/ShowCSWInfo.do;?fileIdentifier=0d5dd739-e2d9-43b0-b72c-8d36189b3a17,nicht bekannt,,d
